,f1_score_f,precision_f,recall_f,f1_score_m,precision_m,recall_m,accuracy,male_match,male_mismatch,female_match,female_mismatch
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.4870816994141279,0.3826218880733774,0.7328199735155079,0.8027738255284612,0.9232034065120104,0.7182547074834585,0.716635,116.887,46.409,26.44,10.264
std,0.06030308996331942,0.0920312394749821,0.12107029110273688,0.05072830572128541,0.034131189685920583,0.09361435668476334,0.06065336433872078,12.274236753781796,16.4907751383816,2.855267509805789,5.784960654124604
min,0.2838709677419355,0.16541353383458646,0.28846153846153844,0.5469387755102041,0.7897727272727273,0.37640449438202245,0.445,67.0,5.0,15.0,0.0
25%,0.4479402985074627,0.3170731707317073,0.6511627906976745,0.7696458218040951,0.9018804243008679,0.6526946107784432,0.675,108.0,34.0,25.0,6.0
50%,0.48672150411280846,0.36764705882352944,0.7428571428571429,0.8068965517241379,0.9256198347107438,0.7151515151515152,0.72,117.0,47.0,27.0,9.0
75%,0.5283018867924528,0.43636363636363634,0.8285714285714286,0.8427778128352369,0.9496848739495798,0.7862689829728486,0.765,126.0,58.0,28.0,14.0
max,0.7010309278350516,0.8275862068965517,1.0,0.9135802469135803,1.0,0.9673202614379085,0.86,148.0,111.0,34.0,37.0
