,f1_score_f,precision_f,recall_f,f1_score_m,precision_m,recall_m,accuracy,male_match,male_mismatch,female_match,female_mismatch
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.6194776124838577,0.5290753838224018,0.7725783679807576,0.8875547138782072,0.9421535086544119,0.8410887971134985,0.82663,137.177,26.119,28.149,8.555
std,0.06397991390249623,0.09537270112034402,0.08205342166225169,0.02268312818080634,0.023374806897237383,0.047409665353471006,0.033066395123848714,5.401745074496745,8.357193409373847,3.194840529041474,3.761798256967819
min,0.41176470588235303,0.2625,0.5128205128205128,0.7986577181208053,0.86875,0.6685393258426966,0.7,119.0,6.0,18.0,0.0
25%,0.5747126436781609,0.4575060532687651,0.71875,0.8737864077669902,0.9276315789473685,0.8109756097560976,0.805,134.0,20.0,26.0,6.0
50%,0.6206896551724138,0.5217391304347826,0.7741935483870968,0.889589905362776,0.9442501942501942,0.8435617469879518,0.83,138.0,25.0,28.0,8.0
75%,0.6666666666666666,0.5961538461538461,0.8333333333333334,0.9030639766965154,0.9591836734693877,0.8765432098765432,0.85,141.0,32.0,30.0,11.0
max,0.8045977011494253,0.85,1.0,0.9456869009584665,1.0,0.961038961038961,0.915,150.0,59.0,37.0,21.0
