,f1_score_f,precision_f,recall_f,f1_score_m,precision_m,recall_m,accuracy,male_match,male_mismatch,female_match,female_mismatch
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.470141378004181,0.36300532404189706,0.7250295674896476,0.7895020642303365,0.9191782205250849,0.6996961689691491,0.7002050000000001,113.865,49.431,26.176,10.528
std,0.05855393151150053,0.08440351695533582,0.11741524758463774,0.05110465266246368,0.0337786459988198,0.09180091414654898,0.06026952289831396,12.053632857568918,16.265294304094184,2.7865370603652106,5.61201485303725
min,0.2875816993464052,0.16793893129770993,0.3076923076923077,0.5587044534412956,0.7916666666666666,0.38764044943820225,0.455,69.0,8.0,15.0,0.0
25%,0.42962962962962964,0.3019049657534246,0.6475975975975976,0.7553956834532374,0.895619727449708,0.6329846011263991,0.65875,105.0,38.0,24.0,6.0
50%,0.47058823529411764,0.351000351000351,0.7297297297297297,0.7931034482758621,0.9218070652173913,0.6978778581342684,0.7,114.0,50.0,26.0,10.0
75%,0.5098039215686274,0.41199813258636786,0.8125,0.8290275994865212,0.9444444444444444,0.7651532054142496,0.745,123.0,61.0,28.0,14.0
max,0.6526315789473683,0.75,1.0,0.9034267912772587,1.0,0.9477124183006536,0.845,145.0,109.0,35.0,36.0
