,f1_score_f,precision_f,recall_f,f1_score_m,precision_m,recall_m,accuracy,male_match,male_mismatch,female_match,female_mismatch
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.5914699475622124,0.48308460820107824,0.799747916756461,0.8653889504420237,0.94602114032606,0.80085854599113,0.79783,130.545,32.751,29.021,7.683
std,0.06025008143458024,0.09249857803851076,0.0952754998017801,0.028538793573605642,0.02795851891517295,0.05920202492091108,0.03906619084665495,6.855287737941418,10.472089746734587,2.658500823138226,4.456497657507673
min,0.36666666666666664,0.22448979591836735,0.42857142857142855,0.7285714285714285,0.8424242424242424,0.5730337078651685,0.62,102.0,5.0,18.0,0.0
25%,0.5529888551165147,0.42028985507246375,0.7380952380952381,0.8486343700159489,0.9298465954965461,0.7621225319396051,0.775,126.0,25.0,27.0,4.0
50%,0.5918367346938775,0.4745762711864407,0.8125,0.8676731395218319,0.95,0.8006024096385542,0.8,131.0,33.0,29.0,7.0
75%,0.631578947368421,0.5454545454545454,0.868421052631579,0.8859934853420195,0.9675452399685287,0.84472049689441,0.825,136.0,40.0,31.0,10.0
max,0.7526881720430109,0.8611111111111112,1.0,0.9337539432176657,1.0,0.9673202614379085,0.895,148.0,76.0,37.0,26.0
